strain,cond,r1,r2,r3
WTa,Glucose,31,29,35
WTalpha,Glucose,24,20,24
mlp2,Glucose,35,45,24
nup2,Glucose,35,26,28
nup100,Glucose,30,30,35
WTa,Galactose,70,50,63
WTalpha,Galactose,67,69,66
mlp2,Galactose,66,51,70
nup2,Galactose,44,36,28
nup100,Galactose,72,72,74
WTalpha,Saturated,74,68,72
