cell cycle,condition,replicate,peripheral,total
G1,Glucose,1,7,30
G1,Glucose,2,7,30
G1,Glucose,3,6,30
G1,Galactose,1,26,33
G1,Galactose,2,22,30
G1,Galactose,3,21,30
S,Glucose,1,9,34
S,Glucose,2,10,30
S,Glucose,3,10,33
S,Galactose,1,6,30
S,Galactose,2,7,30
S,Galactose,3,7,30
G2/M,Glucose,1,6,30
G2/M,Glucose,2,3,30
G2/M,Glucose,3,8,30
G2/M,Galactose,1,20,30
G2/M,Galactose,2,20,38
G2/M,Galactose,3,15,30
