Sample Name	Target Name	Quantity
glucose 1 input	TDA1_1	0.088639
glucose 1 input	TDA1_2	0.109854
glucose 2 input	TDA1_1	0.090160
glucose 2 input	TDA1_2	0.111223
glucose 3 input	TDA1_1	0.086762
glucose 3 input	TDA1_2	0.093831
galactose 1 input	TDA1_1	0.072743
galactose 1 input	TDA1_2	0.101617
galactose 2 input	TDA1_1	0.085322
galactose 2 input	TDA1_2	0.103674
galactose 3 input	TDA1_1	0.091204
galactose 3 input	TDA1_2	0.111770
glucose 1 input	TDA1_3	0.093547
glucose 2 input	TDA1_3	0.091927
glucose 3 input	TDA1_3	0.093713
galactose 1 input	TDA1_3	0.086900
galactose 2 input	TDA1_3	0.103806
galactose 3 input	TDA1_3	0.111088
glucose 1 input	TDA1_1	0.096438
glucose 1 input	TDA1_2	0.101320
glucose 2 input	TDA1_1	0.079533
glucose 2 input	TDA1_2	0.095893
glucose 3 input	TDA1_1	0.077194
glucose 3 input	TDA1_2	0.081689
galactose 1 input	TDA1_1	0.069011
galactose 1 input	TDA1_2	0.091565
galactose 2 input	TDA1_1	0.076983
galactose 2 input	TDA1_2	0.098061
galactose 3 input	TDA1_1	0.087944
galactose 3 input	TDA1_2	0.105802
glucose 1 input	TDA1_3	0.096126
glucose 2 input	TDA1_3	0.089561
glucose 3 input	TDA1_3	0.089305
galactose 1 input	TDA1_3	0.079352
galactose 2 input	TDA1_3	0.080655
galactose 3 input	TDA1_3	0.103980
glucose 1 input	TDA1_1	0.083801
glucose 1 input	TDA1_2	0.095314
glucose 2 input	TDA1_1	0.079288
glucose 2 input	TDA1_2	0.093273
glucose 3 input	TDA1_1	0.073797
glucose 3 input	TDA1_2	0.083866
galactose 1 input	TDA1_1	0.069503
galactose 1 input	TDA1_2	0.088720
galactose 2 input	TDA1_1	0.075766
galactose 2 input	TDA1_2	0.087307
galactose 3 input	TDA1_1	0.081290
galactose 3 input	TDA1_2	0.094464
glucose 1 input	TDA1_3	0.086848
glucose 2 input	TDA1_3	0.087891
glucose 3 input	TDA1_3	0.082447
galactose 1 input	TDA1_3	0.074202
galactose 2 input	TDA1_3	0.085045
galactose 3 input	TDA1_3	0.095537
glucose 1 Ab	TDA1_1	0.025920
glucose 1 Ab	TDA1_2	0.007992
glucose 2 Ab	TDA1_1	0.009333
glucose 2 Ab	TDA1_2	0.010829
glucose 3 Ab	TDA1_1	0.005541
glucose 3 Ab	TDA1_2	0.008200
galactose 1 Ab	TDA1_1	0.008129
galactose 1 Ab	TDA1_2	0.009314
galactose 2 Ab	TDA1_1	0.014440
galactose 2 Ab	TDA1_2	0.008792
galactose 3 Ab	TDA1_1	0.011036
galactose 3 Ab	TDA1_2	0.013360
glucose 1 Ab	TDA1_3	0.007063
glucose 2 Ab	TDA1_3	0.009754
glucose 3 Ab	TDA1_3	0.007170
galactose 1 Ab	TDA1_3	0.008436
galactose 2 Ab	TDA1_3	0.008064
galactose 3 Ab	TDA1_3	0.013331
glucose 1 Ab	TDA1_1	0.006025
glucose 1 Ab	TDA1_2	0.007299
glucose 2 Ab	TDA1_1	0.007466
glucose 2 Ab	TDA1_2	0.010044
glucose 3 Ab	TDA1_1	0.005648
glucose 3 Ab	TDA1_2	0.007491
galactose 1 Ab	TDA1_1	0.006193
galactose 1 Ab	TDA1_2	0.009530
galactose 2 Ab	TDA1_1	0.006534
galactose 2 Ab	TDA1_2	0.007953
galactose 3 Ab	TDA1_1	0.009926
galactose 3 Ab	TDA1_2	0.014056
glucose 1 Ab	TDA1_3	0.007036
glucose 2 Ab	TDA1_3	0.009255
glucose 3 Ab	TDA1_3	0.007689
galactose 1 Ab	TDA1_3	0.008215
galactose 2 Ab	TDA1_3	0.007593
galactose 3 Ab	TDA1_3	0.013598
glucose 1 Ab	TDA1_1	0.007554
glucose 1 Ab	TDA1_2	0.006788
glucose 2 Ab	TDA1_1	0.008223
glucose 2 Ab	TDA1_2	0.009981
glucose 3 Ab	TDA1_1	0.005733
glucose 3 Ab	TDA1_2	0.008285
galactose 1 Ab	TDA1_1	0.007280
galactose 1 Ab	TDA1_2	0.010171
galactose 2 Ab	TDA1_1	0.005537
galactose 2 Ab	TDA1_2	0.007903
galactose 3 Ab	TDA1_1	0.009437
galactose 3 Ab	TDA1_2	0.014780
glucose 1 Ab	TDA1_3	0.007948
glucose 2 Ab	TDA1_3	0.009378
glucose 3 Ab	TDA1_3	0.007430
galactose 1 Ab	TDA1_3	0.008318
galactose 2 Ab	TDA1_3	0.007110
galactose 3 Ab	TDA1_3	0.012081
glucose 1 BSA	TDA1_1	0.000188
glucose 1 BSA	TDA1_2	0.000397
glucose 2 BSA	TDA1_1	0.000023
glucose 2 BSA	TDA1_2	0.000052
glucose 3 BSA	TDA1_1	0.000568
glucose 3 BSA	TDA1_2	0.000492
galactose 1 BSA	TDA1_1	0.000307
galactose 1 BSA	TDA1_2	0.000130
galactose 2 BSA	TDA1_1	0.000220
galactose 2 BSA	TDA1_2	0.000334
galactose 3 BSA	TDA1_1	0.000200
galactose 3 BSA	TDA1_2	0.000078
glucose 1 BSA	TDA1_3	0.000135
glucose 2 BSA	TDA1_3	0.000073
glucose 3 BSA	TDA1_3	0.000338
galactose 1 BSA	TDA1_3	0.000198
galactose 2 BSA	TDA1_3	0.000272
galactose 3 BSA	TDA1_3	0.000203
glucose 1 BSA	TDA1_1	0.000146
glucose 1 BSA	TDA1_2	0.000430
glucose 2 BSA	TDA1_1	0.000077
glucose 2 BSA	TDA1_2	0.000120
glucose 3 BSA	TDA1_1	0.000152
glucose 3 BSA	TDA1_2	0.000407
galactose 1 BSA	TDA1_1	0.000455
galactose 1 BSA	TDA1_2	0.000224
galactose 2 BSA	TDA1_1	0.000205
galactose 2 BSA	TDA1_2	0.000397
galactose 3 BSA	TDA1_1	0.000211
